"OTU_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"H10_1_M.s10238","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_T.s10921","Bacteria",NA,NA,NA,NA,NA,NA
"H14_1_T.s192","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s10073","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s12109","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s30637","Bacteria",NA,NA,NA,NA,NA,NA
"H18_2_T.s1146","Bacteria",NA,NA,NA,NA,NA,NA
"H5_3_M.s20124","Bacteria",NA,NA,NA,NA,NA,NA
"H8_2_T.s55889","Bacteria",NA,NA,NA,NA,NA,NA
"H2_1_T.s4249","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_T.s12174","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_T.s18483","Bacteria",NA,NA,NA,NA,NA,NA
"H19_2_T.s16375","Bacteria",NA,NA,NA,NA,NA,NA
"H10_3_T.s29653","Bacteria",NA,NA,NA,NA,NA,NA
"H2_1_M.s1591","Bacteria",NA,NA,NA,NA,NA,NA
"H2_1_M.s3998","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s106643","Bacteria",NA,NA,NA,NA,NA,NA
"H13_3_T.s13922","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_M.s113374","Bacteria",NA,NA,NA,NA,NA,NA
"H13_3_M.s68306","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s39612","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_M.s58018","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s5189","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_T.s115558","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_T.s23405","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s13311","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_T.s21743","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s10686","Bacteria",NA,NA,NA,NA,NA,NA
"H17_2_M.s24918","Bacteria",NA,NA,NA,NA,NA,NA
"H1_1_T.s4917","Bacteria",NA,NA,NA,NA,NA,NA
"H12_2_T.s4210","Bacteria",NA,NA,NA,NA,NA,NA
"H18_2_T.s39486","Bacteria",NA,NA,NA,NA,NA,NA
"H17_2_T.s25891","Bacteria",NA,NA,NA,NA,NA,NA
"H4_3_M.s38544","Bacteria",NA,NA,NA,NA,NA,NA
"H13_2_T.s29850","Bacteria",NA,NA,NA,NA,NA,NA
"H13_2_T.s54415","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s10553","Bacteria",NA,NA,NA,NA,NA,NA
"H16_1_T.s63102","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s26038","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s119851","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s119380","Bacteria",NA,NA,NA,NA,NA,NA
